fluid,marker_class,marker,target,inference_scope,n,spearman_rho,raw_p,status,bh_fdr,bh_interpretation
CSF,platelet-associated,PF4,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,0.14966757681598253,0.19388290355946441,estimated,0.23862511207318698,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,PPBP,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,0.025367168434563155,0.8266575631578911,estimated,0.8533239361629843,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,RGS18,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.04262174294226209,0.7128327824474275,estimated,0.7603549679439227,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,GP9,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.2755432378485742,0.015287840401873073,estimated,0.02574794172947044,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,ITGA2B,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.07985499381126286,0.48996336280429104,estimated,0.5599581289191897,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,TUBB1,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,0.07416876323761597,0.5214792018212119,estimated,0.5754253261475442,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,SELP,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.24283610202073763,0.03333802890447056,estimated,0.046383344562741645,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,platelet-associated,NRGN,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.3996195824679881,0.0003175539274451753,estimated,0.000781671206018893,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,extracellular-vesicle-associated,CD9,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.2099404519013592,0.06686672145723278,estimated,0.08915562860964371,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,extracellular-vesicle-associated,CD63,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.4760558156071143,1.2087385432893904e-05,estimated,4.8349541731575615e-05,nominal BH-adjusted profile-level P; not patient-level FDR control
CSF,extracellular-vesicle-associated,CD81,OMPFC network score,exploratory profile-level correlation; patient clustering unavailable,77,-0.2891521788932971,0.010755838978696055,estimated,0.020246285136369044,nominal BH-adjusted profile-level P; not patient-level FDR control
