GeneID,Gene.name,Gene.type,M20,M4
ENSMFAG00000037054,CASKIN2,protein_coding,yellow,M3
ENSMFAG00000037057,CCDC115,protein_coding,blue,M3
ENSMFAG00000037058,GDF5,protein_coding,blue,M3
ENSMFAG00000037059,NUBP2,protein_coding,red,M3
ENSMFAG00000037060,DRD3,protein_coding,yellow,M3
ENSMFAG00000037064,ATG9A,protein_coding,red,M3
ENSMFAG00000037065,PKD1,protein_coding,blue,M3
ENSMFAG00000037068,MRPS30,protein_coding,blue,M3
ENSMFAG00000037073,LAMA4,protein_coding,blue,M3
ENSMFAG00000037078,NCOA3,protein_coding,blue,M3
ENSMFAG00000037079,MKNK2,protein_coding,blue,M3
ENSMFAG00000037085,FBXO7,protein_coding,yellow,M3
ENSMFAG00000037089,SFRP5,protein_coding,blue,M3
ENSMFAG00000037094,CPPED1,protein_coding,yellow,M3
ENSMFAG00000037095,OPCML,protein_coding,blue,M3
ENSMFAG00000037099,ATP8A2,protein_coding,blue,M3
ENSMFAG00000037103,TLCD1,protein_coding,blue,M3
ENSMFAG00000037105,EMILIN2,protein_coding,yellow,M3
ENSMFAG00000037106,CENPX,protein_coding,red,M3
ENSMFAG00000037109,EPHA4,protein_coding,blue,M3
ENSMFAG00000037110,ENSMFAG00000037110,protein_coding,yellow,M3
ENSMFAG00000037116,TELO2,protein_coding,yellow,M3
ENSMFAG00000037120,PLEKHH2,protein_coding,yellow,M3
ENSMFAG00000037126,ANO6,protein_coding,blue,M3
ENSMFAG00000037127,WWOX,protein_coding,blue,M3
ENSMFAG00000037128,ZSCAN9,protein_coding,blue,M3
ENSMFAG00000037133,SYDE1,protein_coding,lightyellow,M3
ENSMFAG00000037136,SOAT1,protein_coding,yellow,M3
ENSMFAG00000037139,ENSMFAG00000037139,protein_coding,blue,M3
ENSMFAG00000037143,LENG1,protein_coding,blue,M3
ENSMFAG00000037144,LENG9,protein_coding,blue,M3
ENSMFAG00000037152,CHI3L2,protein_coding,yellow,M3
ENSMFAG00000037159,DTX2,protein_coding,blue,M3
ENSMFAG00000037162,SGK3,protein_coding,yellow,M3
ENSMFAG00000037163,SLCO1B1,protein_coding,blue,M3
ENSMFAG00000037167,KIF4A,protein_coding,blue,M3
ENSMFAG00000037170,PDZD8,protein_coding,blue,M3
ENSMFAG00000037171,LYNX1-SLURP2,protein_coding,blue,M3
ENSMFAG00000037174,DPYS,protein_coding,blue,M3
ENSMFAG00000037181,LOXHD1,protein_coding,blue,M3
ENSMFAG00000037186,PRKD3,protein_coding,yellow,M3
ENSMFAG00000037192,ENSMFAG00000037192,protein_coding,blue,M3
ENSMFAG00000037200,SEC13,protein_coding,blue,M3
ENSMFAG00000037201,LEF1,protein_coding,lightyellow,M3
ENSMFAG00000037217,ENSMFAG00000037217,miRNA,blue,M3
ENSMFAG00000037234,ENSMFAG00000037234,protein_coding,yellow,M3
ENSMFAG00000037248,CRB1,protein_coding,blue,M3
ENSMFAG00000037249,BAP1,protein_coding,red,M3
ENSMFAG00000037251,ENSMFAG00000037251,protein_coding,red,M3
ENSMFAG00000037260,ANKRD9,protein_coding,blue,M3
ENSMFAG00000037266,SLC38A2,protein_coding,blue,M3
ENSMFAG00000037277,IER5L,protein_coding,blue,M3
ENSMFAG00000037281,ATP6V1G1,protein_coding,red,M3
ENSMFAG00000037299,ORAI3,protein_coding,blue,M3
ENSMFAG00000037306,MAX,protein_coding,blue,M3
ENSMFAG00000037310,SGK1,protein_coding,yellow,M3
ENSMFAG00000037311,ZNF670,protein_coding,blue,M3
ENSMFAG00000037312,VPREB3,protein_coding,blue,M3
ENSMFAG00000037313,PDZD3,protein_coding,blue,M3
ENSMFAG00000037317,XKR8,protein_coding,yellow,M3
ENSMFAG00000037319,ZNF276,protein_coding,yellow,M3
ENSMFAG00000037322,SAMM50,protein_coding,red,M3
ENSMFAG00000037323,NUDCD3,protein_coding,red,M3
ENSMFAG00000037332,HSD17B8,protein_coding,yellow,M3
ENSMFAG00000037339,ENSMFAG00000037339,protein_coding,royalblue,M3
ENSMFAG00000037342,MEN1,protein_coding,red,M3
ENSMFAG00000037344,ARIH1,protein_coding,blue,M3
ENSMFAG00000037347,DUSP16,protein_coding,blue,M3
ENSMFAG00000037348,CAVIN1,protein_coding,yellow,M3
ENSMFAG00000037353,AARS2,protein_coding,royalblue,M3
ENSMFAG00000037354,SYVN1,protein_coding,yellow,M3
ENSMFAG00000037360,BCO2,protein_coding,yellow,M3
ENSMFAG00000037362,TMEM179B,protein_coding,yellow,M3
ENSMFAG00000037363,GEMIN4,protein_coding,blue,M3
ENSMFAG00000037365,PDXDC1,protein_coding,blue,M3
ENSMFAG00000037371,ATP7A,protein_coding,yellow,M3
ENSMFAG00000037373,ENSMFAG00000037373,protein_coding,blue,M3
ENSMFAG00000037377,ENSMFAG00000037377,protein_coding,blue,M3
ENSMFAG00000037382,SDHAF2,protein_coding,red,M3
ENSMFAG00000037390,TMEM145,protein_coding,blue,M3
ENSMFAG00000037391,POGK,protein_coding,blue,M3
ENSMFAG00000037393,ENDOD1,protein_coding,blue,M3
ENSMFAG00000037394,MRPL46,protein_coding,red,M3
ENSMFAG00000037422,ENSMFAG00000037422,miRNA,blue,M3
ENSMFAG00000037484,ENSMFAG00000037484,protein_coding,red,M3
ENSMFAG00000037491,RHOXF1,protein_coding,blue,M3
ENSMFAG00000037492,DENND4B,protein_coding,royalblue,M3
ENSMFAG00000037493,TECR,protein_coding,blue,M3
ENSMFAG00000037495,HMCN1,protein_coding,blue,M3
ENSMFAG00000037500,SLC45A1,protein_coding,red,M3
ENSMFAG00000037501,NHEJ1,protein_coding,blue,M3
ENSMFAG00000037515,TIMM44,protein_coding,royalblue,M3
ENSMFAG00000037517,MCRIP2,protein_coding,red,M3
ENSMFAG00000037519,ZKSCAN5,protein_coding,blue,M3
ENSMFAG00000037520,BRD2,protein_coding,blue,M3
ENSMFAG00000037522,EYA4,protein_coding,blue,M3
ENSMFAG00000037524,ENSMFAG00000037524,protein_coding,yellow,M3
ENSMFAG00000037526,FBXO47,protein_coding,yellow,M3
ENSMFAG00000037532,GTPBP2,protein_coding,blue,M3
ENSMFAG00000037535,STXBP6,protein_coding,lightyellow,M3
ENSMFAG00000037539,CREB5,protein_coding,yellow,M3
ENSMFAG00000037540,C16H17orf62,protein_coding,red,M3
ENSMFAG00000037542,PRPF6,protein_coding,royalblue,M3
ENSMFAG00000037544,CYTH1,protein_coding,yellow,M3
ENSMFAG00000037545,ATG16L1,protein_coding,blue,M3
ENSMFAG00000037551,SNX21,protein_coding,blue,M3
ENSMFAG00000037562,GPANK1,protein_coding,blue,M3
ENSMFAG00000037566,TAF5L,protein_coding,blue,M3
ENSMFAG00000037574,TAF8,protein_coding,blue,M3
ENSMFAG00000037575,B3GAT3,protein_coding,red,M3
ENSMFAG00000037576,ENSMFAG00000037576,protein_coding,blue,M3
ENSMFAG00000037579,FOXL2,protein_coding,blue,M3
ENSMFAG00000037583,ZNF547,protein_coding,blue,M3
ENSMFAG00000037596,ENSMFAG00000037596,protein_coding,blue,M3
ENSMFAG00000037601,CDC37,protein_coding,red,M3
ENSMFAG00000037602,PEX5,protein_coding,royalblue,M3
ENSMFAG00000037610,PLOD1,protein_coding,blue,M3
ENSMFAG00000037614,EML3,protein_coding,yellow,M3
ENSMFAG00000037623,USHBP1,protein_coding,lightyellow,M3
ENSMFAG00000037628,BANP,protein_coding,blue,M3
ENSMFAG00000037630,ANAPC1,protein_coding,blue,M3
ENSMFAG00000037631,DENND5A,protein_coding,yellow,M3
ENSMFAG00000037632,DNAJC25,protein_coding,blue,M3
ENSMFAG00000037637,PRDM1,protein_coding,blue,M3
ENSMFAG00000037639,GPR161,protein_coding,blue,M3
ENSMFAG00000037644,TMEM74B,protein_coding,red,M3
ENSMFAG00000037645,TMEM151B,protein_coding,red,M3
ENSMFAG00000037649,ENSMFAG00000037649,protein_coding,red,M3
ENSMFAG00000037662,ACSS2,protein_coding,yellow,M3
ENSMFAG00000037664,SERTAD2,protein_coding,blue,M3
ENSMFAG00000037666,DUXB,protein_coding,yellow,M3
ENSMFAG00000037681,FICD,protein_coding,blue,M3
ENSMFAG00000037688,GALNT12,protein_coding,blue,M3
ENSMFAG00000037690,GPR162,protein_coding,red,M3
ENSMFAG00000037696,SLC7A11,protein_coding,blue,M3
ENSMFAG00000037700,AFF1,protein_coding,yellow,M3
ENSMFAG00000037705,ENSMFAG00000037705,protein_coding,blue,M3
ENSMFAG00000037708,LZIC,protein_coding,yellow,M3
ENSMFAG00000037710,CNTFR,protein_coding,blue,M3
ENSMFAG00000037716,MAP6D1,protein_coding,blue,M3
ENSMFAG00000037721,ANKK1,protein_coding,blue,M3
ENSMFAG00000037723,AKT1S1,protein_coding,red,M3
ENSMFAG00000037725,ENSMFAG00000037725,protein_coding,blue,M3
ENSMFAG00000037726,CATSPER4,protein_coding,yellow,M3
ENSMFAG00000037733,NUP205,protein_coding,blue,M3
ENSMFAG00000037734,SYS1,protein_coding,yellow,M3
ENSMFAG00000037735,PRRT3,protein_coding,red,M3
ENSMFAG00000037737,PASK,protein_coding,blue,M3
ENSMFAG00000037741,SULT4A1,protein_coding,red,M3
ENSMFAG00000037754,GAPDHS,protein_coding,blue,M3
ENSMFAG00000037780,UHRF1,protein_coding,yellow,M3
ENSMFAG00000037782,DOCK10,protein_coding,yellow,M3
ENSMFAG00000037789,SNX25,protein_coding,blue,M3
ENSMFAG00000037797,KLHL17,protein_coding,blue,M3
ENSMFAG00000037798,ENSMFAG00000037798,protein_coding,blue,M3
ENSMFAG00000037802,PSMD2,protein_coding,red,M3
ENSMFAG00000037809,TMED3,protein_coding,red,M3
ENSMFAG00000037813,EIF4ENIF1,protein_coding,blue,M3
ENSMFAG00000037815,ENTPD4,protein_coding,blue,M3
ENSMFAG00000037817,ARHGEF11,protein_coding,blue,M3
ENSMFAG00000037819,FRS3,protein_coding,red,M3
ENSMFAG00000037823,TTC39A,protein_coding,blue,M3
ENSMFAG00000037825,PFKM,protein_coding,red,M3
ENSMFAG00000037829,ENSMFAG00000037829,protein_coding,blue,M3
ENSMFAG00000037830,INO80E,protein_coding,red,M3
ENSMFAG00000037842,REPIN1,protein_coding,blue,M3
ENSMFAG00000037845,ASAP2,protein_coding,blue,M3
ENSMFAG00000037854,HECA,protein_coding,blue,M3
ENSMFAG00000037856,CD300E,protein_coding,blue,M3
ENSMFAG00000037860,FGR,protein_coding,lightyellow,M3
ENSMFAG00000037862,KCNH5,protein_coding,blue,M3
ENSMFAG00000037867,ACHE,protein_coding,red,M3
ENSMFAG00000037876,SLC9A1,protein_coding,blue,M3
ENSMFAG00000037879,DHX37,protein_coding,blue,M3
ENSMFAG00000037882,ZBTB17,protein_coding,blue,M3
ENSMFAG00000037884,CADPS,protein_coding,red,M3
ENSMFAG00000037888,OGFR,protein_coding,royalblue,M3
ENSMFAG00000037893,ELOVL7,protein_coding,yellow,M3
ENSMFAG00000037900,NUDT13,protein_coding,yellow,M3
ENSMFAG00000037902,DDX19B,protein_coding,blue,M3
ENSMFAG00000037903,CTIF,protein_coding,blue,M3
ENSMFAG00000037915,CNNM2,protein_coding,blue,M3
ENSMFAG00000037919,MAP2K3,protein_coding,blue,M3
ENSMFAG00000037922,AVEN,protein_coding,red,M3
ENSMFAG00000037927,TNNC2,protein_coding,blue,M3
ENSMFAG00000037930,NFKBIE,protein_coding,red,M3
ENSMFAG00000037937,INPPL1,protein_coding,yellow,M3
ENSMFAG00000037938,MRPL2,protein_coding,red,M3
ENSMFAG00000037942,ENSMFAG00000037942,protein_coding,yellow,M3
ENSMFAG00000037943,TMEM41A,protein_coding,yellow,M3
ENSMFAG00000037950,SNX18,protein_coding,yellow,M3
ENSMFAG00000037964,ATPAF2,protein_coding,blue,M3
ENSMFAG00000037965,ZC3H7B,protein_coding,blue,M3
ENSMFAG00000037966,SAP30,protein_coding,blue,M3
ENSMFAG00000037973,COX7A1,protein_coding,blue,M3
ENSMFAG00000037981,ENSMFAG00000037981,protein_coding,blue,M3
ENSMFAG00000037984,SLC22A4,protein_coding,yellow,M3
ENSMFAG00000037986,SLC35B2,protein_coding,yellow,M3
ENSMFAG00000037988,PDIA4,protein_coding,yellow,M3
ENSMFAG00000037989,PRDM2,protein_coding,blue,M3
ENSMFAG00000037990,TRPM3,protein_coding,blue,M3
ENSMFAG00000037992,MCM5,protein_coding,yellow,M3
ENSMFAG00000037995,CORO1B,protein_coding,yellow,M3
ENSMFAG00000037997,ITM2A,protein_coding,blue,M3
ENSMFAG00000037998,RD3,protein_coding,yellow,M3
ENSMFAG00000038011,SRXN1,protein_coding,red,M3
ENSMFAG00000038015,METRNL,protein_coding,red,M3
ENSMFAG00000038020,INHBA,protein_coding,blue,M3
ENSMFAG00000038023,ACD,protein_coding,blue,M3
ENSMFAG00000038035,TM9SF4,protein_coding,blue,M3
ENSMFAG00000038036,ATP4A,protein_coding,blue,M3
ENSMFAG00000038038,NT5DC1,protein_coding,blue,M3
ENSMFAG00000038040,SGF29,protein_coding,blue,M3
ENSMFAG00000038058,MRS2,protein_coding,blue,M3
ENSMFAG00000038061,RAF1,protein_coding,blue,M3
ENSMFAG00000038065,ANGPTL2,protein_coding,blue,M3
ENSMFAG00000038067,RP1,protein_coding,blue,M3
ENSMFAG00000038070,TRIM37,protein_coding,blue,M3
ENSMFAG00000038076,EPOR,protein_coding,blue,M3
ENSMFAG00000038082,MRPS15,protein_coding,red,M3
ENSMFAG00000038084,PIFO,protein_coding,blue,M3
ENSMFAG00000038091,ABCC5,protein_coding,blue,M3
ENSMFAG00000038096,ENSMFAG00000038096,protein_coding,red,M3
ENSMFAG00000038103,JOSD1,protein_coding,red,M3
ENSMFAG00000038110,ENSMFAG00000038110,protein_coding,blue,M3
ENSMFAG00000038115,POLR2H,protein_coding,red,M3
ENSMFAG00000038116,MID2,protein_coding,blue,M3
ENSMFAG00000038118,NR1D1,protein_coding,blue,M3
ENSMFAG00000038124,QPCT,protein_coding,blue,M3
ENSMFAG00000038126,ADGRE2,protein_coding,blue,M3
ENSMFAG00000038128,PSMB9,protein_coding,yellow,M3
ENSMFAG00000038136,C1QTNF5,protein_coding,red,M3
ENSMFAG00000038140,ABT1,protein_coding,blue,M3
ENSMFAG00000038145,CCT6B,protein_coding,blue,M3
ENSMFAG00000038148,MAP9,protein_coding,blue,M3
ENSMFAG00000038151,DBNDD1,protein_coding,red,M3
ENSMFAG00000038153,KLC4,protein_coding,blue,M3
ENSMFAG00000038158,SPP1,protein_coding,yellow,M3
ENSMFAG00000038160,PTGES,protein_coding,lightyellow,M3
ENSMFAG00000038167,AURKB,protein_coding,blue,M3
ENSMFAG00000038170,EIF1AD,protein_coding,red,M3
ENSMFAG00000038228,ENSMFAG00000038228,protein_coding,yellow,M3
ENSMFAG00000038245,C1QBP,protein_coding,red,M3
ENSMFAG00000038249,BCDIN3D,protein_coding,blue,M3
ENSMFAG00000038250,E4F1,protein_coding,royalblue,M3
ENSMFAG00000038256,PSMD3,protein_coding,red,M3
ENSMFAG00000038272,CAPS2,protein_coding,blue,M3
ENSMFAG00000038278,GPBP1L1,protein_coding,blue,M3
ENSMFAG00000038279,ATG4C,protein_coding,yellow,M3
ENSMFAG00000038281,PNKD,protein_coding,red,M3
ENSMFAG00000038284,PQLC2,protein_coding,royalblue,M3
ENSMFAG00000038285,LRRC43,protein_coding,blue,M3
ENSMFAG00000038288,ATG13,protein_coding,red,M3
ENSMFAG00000038292,EXOSC9,protein_coding,blue,M3
ENSMFAG00000038295,GCC1,protein_coding,blue,M3
ENSMFAG00000038297,ARSF,protein_coding,yellow,M3
ENSMFAG00000038301,PTGFRN,protein_coding,blue,M3
ENSMFAG00000038303,ENSMFAG00000038303,protein_coding,blue,M3
ENSMFAG00000038308,CDH5,protein_coding,lightyellow,M3
ENSMFAG00000038311,MRPS18A,protein_coding,red,M3
ENSMFAG00000038315,HYPK,protein_coding,blue,M3
ENSMFAG00000038318,LUZP1,protein_coding,blue,M3
ENSMFAG00000038320,OTOS,protein_coding,blue,M3
ENSMFAG00000038323,ENSMFAG00000038323,protein_coding,blue,M3
ENSMFAG00000038329,MEOX2,protein_coding,blue,M3
ENSMFAG00000038330,PCGF2,protein_coding,blue,M3
ENSMFAG00000038334,CLSTN1,protein_coding,blue,M3
ENSMFAG00000038337,TPRA1,protein_coding,blue,M3
ENSMFAG00000038340,USP2,protein_coding,blue,M3
ENSMFAG00000038345,ITIH1,protein_coding,yellow,M3
ENSMFAG00000038348,ZNF629,protein_coding,blue,M3
ENSMFAG00000038356,TMPRSS9,protein_coding,blue,M3
ENSMFAG00000038358,TTLL9,protein_coding,yellow,M3
ENSMFAG00000038362,USF2,protein_coding,blue,M3
ENSMFAG00000038363,PGC,protein_coding,blue,M3
ENSMFAG00000038370,SIRT4,protein_coding,blue,M3
ENSMFAG00000038372,TSSC4,protein_coding,blue,M3
ENSMFAG00000038377,ENTPD7,protein_coding,blue,M3
ENSMFAG00000038394,RFLNB,protein_coding,blue,M3
ENSMFAG00000038408,ENSMFAG00000038408,protein_coding,yellow,M3
ENSMFAG00000038411,AASS,protein_coding,yellow,M3
ENSMFAG00000038413,MINAR2,protein_coding,blue,M3
ENSMFAG00000038414,TMEM189,protein_coding,yellow,M3
ENSMFAG00000038416,PRKCQ,protein_coding,yellow,M3
ENSMFAG00000038427,FHL2,protein_coding,blue,M3
ENSMFAG00000038429,INSIG1,protein_coding,yellow,M3
ENSMFAG00000038433,KCNN4,protein_coding,blue,M3
ENSMFAG00000038435,GLCCI1,protein_coding,blue,M3
ENSMFAG00000038440,CABP4,protein_coding,yellow,M3
ENSMFAG00000038445,SPOCK2,protein_coding,blue,M3
ENSMFAG00000038447,NFKBIL1,protein_coding,royalblue,M3
ENSMFAG00000038451,EMC4,protein_coding,red,M3
ENSMFAG00000038456,ZNF155,protein_coding,blue,M3
ENSMFAG00000038464,ENSMFAG00000038464,protein_coding,yellow,M3
ENSMFAG00000038467,COPS7A,protein_coding,red,M3
ENSMFAG00000038469,SMARCD2,protein_coding,yellow,M3
ENSMFAG00000038470,TST,protein_coding,yellow,M3
ENSMFAG00000038472,SPTB,protein_coding,blue,M3
ENSMFAG00000038474,FAM78A,protein_coding,blue,M3
ENSMFAG00000038478,MITF,protein_coding,yellow,M3
ENSMFAG00000038482,NAA60,protein_coding,blue,M3
ENSMFAG00000038491,GSX2,protein_coding,blue,M3
ENSMFAG00000038505,PREP,protein_coding,blue,M3
ENSMFAG00000038506,TP53,protein_coding,yellow,M3
ENSMFAG00000038513,RND1,protein_coding,blue,M3
ENSMFAG00000038514,CYC1,protein_coding,red,M3
ENSMFAG00000038532,RALB,protein_coding,blue,M3
ENSMFAG00000038533,MAGEE1,protein_coding,red,M3
ENSMFAG00000038534,UBALD2,protein_coding,blue,M3
ENSMFAG00000038535,SERTAD4,protein_coding,blue,M3
ENSMFAG00000038536,IQUB,protein_coding,blue,M3
ENSMFAG00000038538,SLC8A1,protein_coding,blue,M3
ENSMFAG00000038556,NDEL1,protein_coding,blue,M3
ENSMFAG00000038558,ENSMFAG00000038558,protein_coding,blue,M3
ENSMFAG00000038563,ELP5,protein_coding,red,M3
ENSMFAG00000038565,CSDC2,protein_coding,blue,M3
ENSMFAG00000038570,SLC6A6,protein_coding,blue,M3
ENSMFAG00000038571,ENSMFAG00000038571,protein_coding,yellow,M3
ENSMFAG00000038576,VAX2,protein_coding,yellow,M3
ENSMFAG00000038577,MTMR14,protein_coding,blue,M3
ENSMFAG00000038578,RFC2,protein_coding,red,M3
ENSMFAG00000038584,MTMR10,protein_coding,yellow,M3
ENSMFAG00000038587,KIF1C,protein_coding,yellow,M3
ENSMFAG00000038599,SLC22A18,protein_coding,blue,M3
ENSMFAG00000038600,RAB37,protein_coding,blue,M3
ENSMFAG00000038603,GATA2,protein_coding,lightyellow,M3
ENSMFAG00000038606,HM13,protein_coding,blue,M3
ENSMFAG00000038616,CCDC130,protein_coding,blue,M3
ENSMFAG00000038617,UBXN2A,protein_coding,blue,M3
ENSMFAG00000038621,IL6R,protein_coding,blue,M3
ENSMFAG00000038622,WDR81,protein_coding,blue,M3
ENSMFAG00000038626,FERMT2,protein_coding,yellow,M3
ENSMFAG00000038630,BCL7B,protein_coding,red,M3
ENSMFAG00000038631,ENSMFAG00000038631,protein_coding,red,M3
ENSMFAG00000038643,SLC16A14,protein_coding,blue,M3
ENSMFAG00000038654,CCDC163,protein_coding,yellow,M3
ENSMFAG00000038657,ENSMFAG00000038657,protein_coding,blue,M3
ENSMFAG00000038663,DPP3,protein_coding,red,M3
ENSMFAG00000038666,DDX23,protein_coding,blue,M3
ENSMFAG00000038670,NMUR1,protein_coding,blue,M3
ENSMFAG00000038671,LSR,protein_coding,lightyellow,M3
ENSMFAG00000038676,SLC25A11,protein_coding,red,M3
ENSMFAG00000038690,DNAH1,protein_coding,yellow,M3
ENSMFAG00000038692,CLCN1,protein_coding,blue,M3
ENSMFAG00000038697,FCRLA,protein_coding,yellow,M3
ENSMFAG00000038699,TMEM147,protein_coding,red,M3
ENSMFAG00000038700,ENSMFAG00000038700,protein_coding,yellow,M3
ENSMFAG00000038703,UBQLN1,protein_coding,blue,M3
ENSMFAG00000038704,ENSMFAG00000038704,protein_coding,blue,M3
ENSMFAG00000038709,GLRX2,protein_coding,yellow,M3
ENSMFAG00000038711,PIP5K1B,protein_coding,blue,M3
ENSMFAG00000038712,SP2,protein_coding,blue,M3
ENSMFAG00000038713,TMCC2,protein_coding,blue,M3
ENSMFAG00000038722,PRTG,protein_coding,blue,M3
ENSMFAG00000038724,METTL16,protein_coding,yellow,M3
ENSMFAG00000038727,RAB31,protein_coding,yellow,M3
ENSMFAG00000038728,DAXX,protein_coding,red,M3
ENSMFAG00000038729,TRABD,protein_coding,blue,M3
ENSMFAG00000038730,NDUFV1,protein_coding,red,M3
ENSMFAG00000038731,LNPEP,protein_coding,yellow,M3
ENSMFAG00000038732,DNAJC5G,protein_coding,blue,M3
ENSMFAG00000038736,HPF1,protein_coding,blue,M3
ENSMFAG00000038738,TMEM200B,protein_coding,blue,M3
ENSMFAG00000038739,SLC16A3,protein_coding,yellow,M3
ENSMFAG00000038745,USP45,protein_coding,blue,M3
ENSMFAG00000038756,SNRPB,protein_coding,royalblue,M3
ENSMFAG00000038758,SERPINF2,protein_coding,blue,M3
ENSMFAG00000038762,ITIH3,protein_coding,blue,M3
ENSMFAG00000038766,SLC48A1,protein_coding,yellow,M3
ENSMFAG00000038773,TM7SF2,protein_coding,yellow,M3
ENSMFAG00000038779,TNFRSF18,protein_coding,blue,M3
ENSMFAG00000038781,KLHDC7A,protein_coding,blue,M3
ENSMFAG00000038787,DNASE1L1,protein_coding,blue,M3
ENSMFAG00000038791,GAS2L1,protein_coding,red,M3
ENSMFAG00000038794,CBS,protein_coding,yellow,M3
ENSMFAG00000038815,ENSMFAG00000038815,protein_coding,blue,M3
ENSMFAG00000038819,ENSMFAG00000038819,protein_coding,yellow,M3
ENSMFAG00000038820,CLEC11A,protein_coding,red,M3
ENSMFAG00000038821,ST3GAL3,protein_coding,blue,M3
ENSMFAG00000038822,RAB4A,protein_coding,blue,M3
ENSMFAG00000038826,TBC1D17,protein_coding,blue,M3
ENSMFAG00000038831,NET1,protein_coding,blue,M3
ENSMFAG00000038838,PLCL1,protein_coding,yellow,M3
ENSMFAG00000038846,KIF5A,protein_coding,blue,M3
ENSMFAG00000038848,SLC39A7,protein_coding,blue,M3
ENSMFAG00000038849,NFIX,protein_coding,blue,M3
ENSMFAG00000038852,SHARPIN,protein_coding,royalblue,M3
ENSMFAG00000038855,SLC12A4,protein_coding,yellow,M3
ENSMFAG00000038856,ZNF397,protein_coding,yellow,M3
ENSMFAG00000038859,ANKH,protein_coding,blue,M3
ENSMFAG00000038863,GARS,protein_coding,blue,M3
ENSMFAG00000038870,COPE,protein_coding,red,M3
ENSMFAG00000038876,NPR2,protein_coding,blue,M3
ENSMFAG00000038890,ABCB1,protein_coding,lightyellow,M3
ENSMFAG00000038893,NR1D2,protein_coding,blue,M3
ENSMFAG00000038895,SEMA5A,protein_coding,yellow,M3
ENSMFAG00000038897,ZFP28,protein_coding,blue,M3
ENSMFAG00000038904,AGPS,protein_coding,yellow,M3
ENSMFAG00000038909,NCK2,protein_coding,blue,M3
ENSMFAG00000038992,GK,protein_coding,blue,M3
ENSMFAG00000038993,LMO2,protein_coding,red,M3
ENSMFAG00000038994,SPRY2,protein_coding,red,M3
ENSMFAG00000038998,TBX2,protein_coding,lightyellow,M3
ENSMFAG00000038999,NXPE2,protein_coding,blue,M3
ENSMFAG00000039004,NR3C1,protein_coding,blue,M3
ENSMFAG00000039009,RAMP2,protein_coding,lightyellow,M3
ENSMFAG00000039017,LHPP,protein_coding,yellow,M3
ENSMFAG00000039022,CCND3,protein_coding,red,M3
ENSMFAG00000039023,VGLL2,protein_coding,blue,M3
ENSMFAG00000039024,ICAM3,protein_coding,blue,M3
ENSMFAG00000039025,TNFSF13,protein_coding,red,M3
ENSMFAG00000039034,PCIF1,protein_coding,blue,M3
ENSMFAG00000039037,CCDC151,protein_coding,blue,M3
ENSMFAG00000039042,KANSL2,protein_coding,blue,M3
ENSMFAG00000039048,SRMS,protein_coding,blue,M3
ENSMFAG00000039051,IRAK3,protein_coding,blue,M3
ENSMFAG00000039081,SLCO1A2,protein_coding,yellow,M3
ENSMFAG00000039085,ZNF652,protein_coding,yellow,M3
ENSMFAG00000039094,STK26,protein_coding,blue,M3
ENSMFAG00000039099,ENSMFAG00000039099,protein_coding,yellow,M3
ENSMFAG00000039112,RND2,protein_coding,blue,M3
ENSMFAG00000039121,ENSMFAG00000039121,protein_coding,red,M3
ENSMFAG00000039122,GDF6,protein_coding,blue,M3
ENSMFAG00000039128,AHCYL2,protein_coding,lightyellow,M3
ENSMFAG00000039129,TBX3,protein_coding,lightyellow,M3
ENSMFAG00000039131,CD55,protein_coding,yellow,M3
ENSMFAG00000039140,ATP5F1D,protein_coding,red,M3
ENSMFAG00000039142,PPP1R15B,protein_coding,blue,M3
ENSMFAG00000039143,BCL2L11,protein_coding,blue,M3
ENSMFAG00000039148,SHQ1,protein_coding,blue,M3
ENSMFAG00000039149,RCOR2,protein_coding,red,M3
ENSMFAG00000039151,SQOR,protein_coding,yellow,M3
ENSMFAG00000039159,TMEM155,protein_coding,blue,M3
ENSMFAG00000039160,TTI2,protein_coding,blue,M3
ENSMFAG00000039169,SDF4,protein_coding,red,M3
ENSMFAG00000039175,ECI2,protein_coding,blue,M3
ENSMFAG00000039179,KRT16,protein_coding,yellow,M3
ENSMFAG00000039180,ENSMFAG00000039180,protein_coding,blue,M3
ENSMFAG00000039182,ENSMFAG00000039182,protein_coding,blue,M3
ENSMFAG00000039184,SCARB2,protein_coding,yellow,M3
ENSMFAG00000039192,MAP2K2,protein_coding,red,M3
ENSMFAG00000039194,ACE2,protein_coding,yellow,M3
ENSMFAG00000039201,NDUFS1,protein_coding,blue,M3
ENSMFAG00000039206,NAGLU,protein_coding,blue,M3
ENSMFAG00000039208,ENSMFAG00000039208,protein_coding,yellow,M3
ENSMFAG00000039209,SLC25A18,protein_coding,red,M3
ENSMFAG00000039212,ITPA,protein_coding,red,M3
ENSMFAG00000039218,ANAPC2,protein_coding,red,M3
ENSMFAG00000039246,NME6,protein_coding,blue,M3
ENSMFAG00000039249,EDN3,protein_coding,lightyellow,M3
ENSMFAG00000039255,CTTNBP2,protein_coding,yellow,M3
ENSMFAG00000039265,FCRL6,protein_coding,blue,M3
ENSMFAG00000039281,ENSMFAG00000039281,protein_coding,blue,M3
ENSMFAG00000039283,GAS2,protein_coding,blue,M3
ENSMFAG00000039285,PNPO,protein_coding,red,M3
ENSMFAG00000039291,GADD45G,protein_coding,blue,M3
